MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1915146	Ccdc80	coiled-coil domain containing 80	16		interstitial matrix	is a part of cartilage		IDA		J:139122 	
MGI:1891386	Ccl21c	chemokine (C-C motif) ligand 21C (leucine)	4		extracellular matrix			ISS	Q6ICR7 	J:73065 	
MGI:88613	Ccn1	cellular communication network factor 1	3		collagen-containing extracellular matrix	is a part of CL:0000057		HDA		J:213088 	
MGI:88613	Ccn1	cellular communication network factor 1	3		extracellular matrix			IBA	PTN000142748 	J:265628 	
MGI:95537	Ccn2	cellular communication network factor 2	10		extracellular matrix			IBA	PTN000142748 	J:265628 	
MGI:95537	Ccn2	cellular communication network factor 2	10		extracellular matrix			IDA		J:40574 	
MGI:109185	Ccn3	cellular communication network factor 3	15		collagen-containing extracellular matrix			ISO	RGD:621553 	J:155856 	
MGI:109185	Ccn3	cellular communication network factor 3	15		extracellular matrix			IBA	PTN000142748 	J:265628 	
MGI:1197008	Ccn4	cellular communication network factor 4	15		extracellular matrix			IBA	PTN000142748 	J:265628 	
MGI:1328326	Ccn5	cellular communication network factor 5	2		extracellular matrix			IBA	PTN000142748 	J:265628 	
MGI:2685581	Ccn6	cellular communication network factor 6	10		extracellular matrix			IBA	PTN000142748 	J:265628 	
MGI:1096360	Cd151	CD151 antigen	7		basement membrane			ISO	P48509 	J:164563 	
MGI:1194924	Cd180	CD180 antigen	13		extracellular matrix			IBA	PTN001224703 	J:265628 	
MGI:95314	Cela1	chymotrypsin-like elastase family, member 1	15		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:95316	Cela2a	chymotrypsin-like elastase family, member 2A	4		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1915118	Cela3b	chymotrypsin-like elastase family, member 3B	4		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1344403	Cfdp1	craniofacial development protein 1	8		basement membrane			TAS		J:78447 	
MGI:1096866	Chad	chondroadherin	11		extracellular matrix			IBA	PTN001224703 	J:265628 	
MGI:3036284	Chadl	chondroadherin-like	15		collagen-containing extracellular matrix			IDA		J:218381 	
MGI:3036284	Chadl	chondroadherin-like	15		collagen-containing extracellular matrix			ISO	Q6NUI6 	J:164563 	
MGI:3036284	Chadl	chondroadherin-like	15		extracellular matrix			IBA	PTN001224703 	J:265628 	
MGI:2444507	Cilp	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	9		collagen-containing extracellular matrix			IBA	PTN002687626 	J:265628 	
MGI:2444507	Cilp	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	9		collagen-containing extracellular matrix			ISO	O75339 	J:164563 	
MGI:104540	Clec3b	C-type lectin domain family 3, member b	9		extracellular matrix			TAS		J:72638 	
MGI:1914114	Clec14a	C-type lectin domain family 14, member a	12		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:1278313	Coch	cochlin	12		collagen-containing extracellular matrix			IBA	PTN002770396 	J:265628 	
MGI:1278313	Coch	cochlin	12		collagen-containing extracellular matrix			ISO	O43405 	J:164563 	
MGI:1278313	Coch	cochlin	12		extracellular matrix	is a part of cochlea		IDA		J:203413 	
